accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	culture_collection	description	dev_stage	first_public	sex	tissue_lib	tissue_type	tax_id	scientific_name	sample_alias	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	sample_collection	sequencing_method
SAMN03976137	SRS1029373			macrophage					HPGL0400		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0400										
SAMN03976138	SRS1029380			macrophage					HPGL0401		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0401										
SAMN03976139	SRS1029381			macrophage					HPGL0402		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0402										
SAMN03976140	SRS1029382			macrophage					HPGL0403		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0403										
SAMN03976141	SRS1029383			macrophage					HPGL0404		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0404										
SAMN03976142	SRS1029384			macrophage					HPGL0405		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0405										
SAMN03976143	SRS1029536			macrophage					HPGL0436		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0436										
SAMN03976144	SRS1029537			macrophage					HPGL0437		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0437										
SAMN03976145	SRS1029539			macrophage					HPGL0438		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0438										
SAMN03976146	SRS1029540			macrophage					HPGL0439		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0439										
SAMN03976147	SRS1029541			macrophage					HPGL0440		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0440										
SAMN03976148	SRS1029877			macrophage					HPGL0441		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0441										
SAMN03976149	SRS1029878			macrophage					HPGL0442		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0442										
SAMN03976150	SRS1029879			macrophage					HPGL0443		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0443										
SAMN03976151	SRS1029880			macrophage					HPGL0444		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0444										
SAMN03976152	SRS1029881			macrophage					HPGL0445		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0445										
SAMN03976153	SRS1029882			macrophage					HPGL0446		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0446										
SAMN03976154	SRS1029884			macrophage					HPGL0452		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0452										
SAMN03976155	SRS1029885			macrophage					HPGL0457		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0457										
SAMN03976156	SRS1034391			macrophage					HPGL0458		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0458										
SAMN03976157	SRS1034393			macrophage					HPGL0459		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0459										
SAMN03976158	SRS1034394			macrophage					HPGL0460		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0460										
SAMN03976159	SRS1034395			macrophage					HPGL0461		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0461										
SAMN03976160	SRS1034406			macrophage					HPGL0462		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0462										
SAMN03976161	SRS1034400			macrophage					HPGL0463		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0463										
SAMN03976162	SRS1034419			macrophage					HPGL0464		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0464										
SAMN03976163	SRS1034420			macrophage					HPGL0465		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0465										
SAMN03976164	SRS1034428			macrophage					HPGL0466		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0466										
SAMN03976165	SRS1034429			macrophage					HPGL0467		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0467										
SAMN03976166	SRS1034430			macrophage					HPGL0468		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0468										
SAMN03976167	SRS1034431			macrophage					HPGL0469		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0469										
SAMN03976168	SRS1034433			macrophage					HPGL0470		2016-02-02	male		macrophage	9606	Homo sapiens	HPGL0470										
SAMN03976169	SRS1034436			macrophage					HPGL0495		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0495										
SAMN03976170	SRS1034437			macrophage					HPGL0496		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0496										
SAMN03976171	SRS1034438			macrophage					HPGL0497		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0497										
SAMN03976172	SRS1034439			macrophage					HPGL0498		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0498										
SAMN03976173	SRS1034440			macrophage					HPGL0499		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0499										
SAMN03976174	SRS1034441			macrophage					HPGL0500		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0500										
SAMN03976175	SRS1034443			macrophage					HPGL0501		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0501										
SAMN03976176	SRS1034444			macrophage					HPGL0502		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0502										
SAMN03976177	SRS1034446			macrophage					HPGL0503		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0503										
SAMN03976178	SRS1034447			macrophage					HPGL0504		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0504										
SAMN03976179	SRS1034448			macrophage					HPGL0505		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0505										
SAMN03976180	SRS1034449			macrophage					HPGL0506		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0506										
SAMN03976181	SRS1034450			macrophage					HPGL0507		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0507										
SAMN03976182	SRS1034530			macrophage					HPGL0508		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0508										
SAMN03976183	SRS1034558			macrophage					HPGL0509		2016-02-02	female		macrophage	9606	Homo sapiens	HPGL0509										
