accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	culture_collection	description	dev_stage	first_public	tissue_lib	tissue_type	tax_id	scientific_name	sample_alias	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	sample_collection	sequencing_method
SAMEA4522064	ERS1421243		THP-1	monocyte					THP1 BR2 PMA+LPS_RNA		2016-10-21			9606	Homo sapiens	E-MTAB-5191:THP1 BR2 PMA+LPS_RNA										
SAMEA4522065	ERS1421244		THP-1	monocyte					THP1 BR2 PMA_RNA		2016-10-21			9606	Homo sapiens	E-MTAB-5191:THP1 BR2 PMA_RNA										
SAMEA4522066	ERS1421245		THP-1	monocyte					THP1 BR2 VD3+LPS_RNA		2016-10-21			9606	Homo sapiens	E-MTAB-5191:THP1 BR2 VD3+LPS_RNA										
SAMEA4522067	ERS1421246		THP-1	monocyte					THP1 BR2 VD3_RNA		2016-10-21			9606	Homo sapiens	E-MTAB-5191:THP1 BR2 VD3_RNA										
SAMN02047453	SRS414092			monocyte					THP1_mRNA-seq		2013-11-11			9606	Homo sapiens	GSM1125253										
SAMN02910176	SRS659309			monocyte					MNC491_H3K4me1		2014-11-11			9606	Homo sapiens	GSM1435532										
SAMN02910177	SRS659310			monocyte					MNC491_H3K4me3		2014-11-11			9606	Homo sapiens	GSM1435533										
SAMN02910178	SRS659311			monocyte					MNC492_H3K4me1		2014-11-11			9606	Homo sapiens	GSM1435534										
SAMN02910179	SRS659312			monocyte					MNC492_H3K4me3		2014-11-11			9606	Homo sapiens	GSM1435535										
SAMN02910180	SRS659273			monocyte					MNC775_RNAseq		2014-11-11			9606	Homo sapiens	GSM1435495										
SAMN02910181	SRS659274			monocyte					MNC758_RNAseq		2014-11-11			9606	Homo sapiens	GSM1435496										
SAMN02910182	SRS659275			monocyte					MNC761_RNAseq		2014-11-11			9606	Homo sapiens	GSM1435497										
SAMN02910183	SRS659276			monocyte					MNC764_RNAseq		2014-11-11			9606	Homo sapiens	GSM1435498										
SAMN02910184	SRS659277			monocyte					MNC770_RNAseq		2014-11-11			9606	Homo sapiens	GSM1435499										
SAMN02910185	SRS659278			monocyte					MNC771_RNAseq		2014-11-11			9606	Homo sapiens	GSM1435500										
SAMN02910186	SRS659279			monocyte					MNC772_RNAseq		2014-11-11			9606	Homo sapiens	GSM1435501										
SAMN02910187	SRS659280			monocyte					MNC773_RNAseq		2014-11-11			9606	Homo sapiens	GSM1435502										
SAMN02978884	SRS676665			monocyte					Lm_Neonate1_6hr		2015-03-21			9606	Homo sapiens	GSM1467812										
SAMN02978885	SRS676666			monocyte					Lm_Neonate2_0hr		2015-03-21			9606	Homo sapiens	GSM1467813										
SAMN02978886	SRS676667			monocyte					Lm_Neonate2_2hr		2015-03-21			9606	Homo sapiens	GSM1467814										
SAMN02978887	SRS676669			monocyte					Lm_Neonate2_6hr		2015-03-21			9606	Homo sapiens	GSM1467815										
SAMN02978888	SRS676670			monocyte					Lm_Neonate3_0hr		2015-03-21			9606	Homo sapiens	GSM1467816										
SAMN02978889	SRS676668			monocyte					Lm_Neonate3_2hr		2015-03-21			9606	Homo sapiens	GSM1467817										
SAMN02978890	SRS676671			monocyte					Lm_Neonate3_6hr		2015-03-21			9606	Homo sapiens	GSM1467818										
SAMN02978891	SRS676672			monocyte					Lm_Adult1_0hr		2015-03-21			9606	Homo sapiens	GSM1467819										
SAMN02978892	SRS676673			monocyte					Lm_Adult1_2hr		2015-03-21			9606	Homo sapiens	GSM1467820										
SAMN02978893	SRS676674			monocyte					Lm_Adult1_6hr		2015-03-21			9606	Homo sapiens	GSM1467821										
SAMN02978894	SRS676675			monocyte					Lm_Adult2_0hr		2015-03-21			9606	Homo sapiens	GSM1467822										
SAMN02978895	SRS676676			monocyte					Lm_Adult2_2hr		2015-03-21			9606	Homo sapiens	GSM1467823										
SAMN02978896	SRS676677			monocyte					Lm_Adult2_6hr		2015-03-21			9606	Homo sapiens	GSM1467824										
SAMN02978897	SRS676678			monocyte					Lm_Adult3_0hr		2015-03-21			9606	Homo sapiens	GSM1467825										
SAMN02978898	SRS676680			monocyte					Lm_Adult3_2hr		2015-03-21			9606	Homo sapiens	GSM1467826										
SAMN02978899	SRS676679			monocyte					Lm_Adult3_6hr		2015-03-21			9606	Homo sapiens	GSM1467827										
SAMN02978900	SRS676682			monocyte					Lm_OlderAdult1_0hr		2015-03-21			9606	Homo sapiens	GSM1467828										
SAMN02978901	SRS676681			monocyte					Lm_OlderAdult1_2hr		2015-03-21			9606	Homo sapiens	GSM1467829										
SAMN02978902	SRS676683			monocyte					Lm_OlderAdult1_6hr		2015-03-21			9606	Homo sapiens	GSM1467830										
SAMN02978903	SRS676684			monocyte					Lm_OlderAdult2_0hr		2015-03-21			9606	Homo sapiens	GSM1467831										
SAMN02978904	SRS676685			monocyte					Lm_OlderAdult2_2hr		2015-03-21			9606	Homo sapiens	GSM1467832										
SAMN02978905	SRS676686			monocyte					Lm_OlderAdult2_6hr		2015-03-21			9606	Homo sapiens	GSM1467833										
SAMN02978906	SRS676687			monocyte					Lm_OlderAdult3_0hr		2015-03-21			9606	Homo sapiens	GSM1467834										
SAMN02978907	SRS676689			monocyte					Lm_OlderAdult3_2hr		2015-03-21			9606	Homo sapiens	GSM1467835										
SAMN02978908	SRS676688			monocyte					Lm_OlderAdult3_6hr		2015-03-21			9606	Homo sapiens	GSM1467836										
SAMN02978909	SRS676636			monocyte					LPS_Neonate1_0hr		2015-03-21			9606	Homo sapiens	GSM1467783										
SAMN02978910	SRS676637			monocyte					LPS_Neonate1_1hr		2015-03-21			9606	Homo sapiens	GSM1467784										
SAMN02978911	SRS676640			monocyte					LPS_Neonate1_6hr		2015-03-21			9606	Homo sapiens	GSM1467785										
SAMN02978912	SRS676639			monocyte					LPS_Neonate2_0hr		2015-03-21			9606	Homo sapiens	GSM1467786										
SAMN02978913	SRS676638			monocyte					LPS_Neonate2_1hr		2015-03-21			9606	Homo sapiens	GSM1467787										
SAMN02978914	SRS676641			monocyte					LPS_Neonate2_6hr		2015-03-21			9606	Homo sapiens	GSM1467788										
SAMN02978915	SRS676643			monocyte					LPS_Neonate3_0hr		2015-03-21			9606	Homo sapiens	GSM1467789										
SAMN02978916	SRS676642			monocyte					LPS_Neonate3_1hr		2015-03-21			9606	Homo sapiens	GSM1467790										
SAMN02978917	SRS676644			monocyte					LPS_Neonate3_6hr		2015-03-21			9606	Homo sapiens	GSM1467791										
SAMN02978918	SRS676645			monocyte					LPS_Adult1_0hr		2015-03-21			9606	Homo sapiens	GSM1467792										
SAMN02978919	SRS676646			monocyte					LPS_Adult1_1hr		2015-03-21			9606	Homo sapiens	GSM1467793										
SAMN02978920	SRS676647			monocyte					LPS_Adult1_6hr		2015-03-21			9606	Homo sapiens	GSM1467794										
SAMN02978921	SRS676649			monocyte					LPS_Adult2_0hr		2015-03-21			9606	Homo sapiens	GSM1467795										
SAMN02978922	SRS676648			monocyte					LPS_Adult2_1hr		2015-03-21			9606	Homo sapiens	GSM1467796										
SAMN02978923	SRS676650			monocyte					LPS_Adult2_6hr		2015-03-21			9606	Homo sapiens	GSM1467797										
