Mixture	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.GN.A262.06A	0.0475364805983614	0	0.00988982146984967	0	0.035790184726955	0.137112612034886	0.0144796695967506	0.0588473079618262	0.0333267914952344	0.0297208569914675	0.0684637625083706	0	0.00911296383802185	0.183191284946058	0.101053400237056	0.201752800551161	0.0176803978184607	0	0.0442414120575554	0.00780025316798629	0	0	0	0.304228616309842	0.959075783045834
TCGA.FR.A69P.06A	0.0453234000690993	0	0.000503057177455455	0.119669680045417	0	0.118592970353882	0.0449034850068485	0.0461538039133682	0	0	0.0372430788660095	0.00261946679294364	0.0220605236494825	0.180390531887565	0.07169446446857	0.204549093296893	0.0578599379401262	0	0.0241103397621502	0.0193826966474156	0.00360117771259425	0.00134229241017978	0	0.456074082774142	0.89018434213351
TCGA.WE.A8ZR.06A	0.109452949899375	0.0343626666949412	0.0382084481507628	0.0975873650414519	0	0.0346732706650738	0.0433812125060862	0.0330692646717694	0.0503304638902519	0	0.00901090945662044	0.00144232008545803	0	0.419183353488072	0.0462776741142853	0.0677539128029346	0	0	0.015266188532917	0	0	0	0	0.60057660490521	0.806343230763844
TCGA.EB.A5SF.01A	0.016877489481263	0.00962059936142785	0.0016636048744597	0.0486557017197996	0.000776225383090408	0.0383812527002415	0.0174782255764628	0.0112770955919976	0.0103225952338901	0.000144496221616108	0.0390119659298563	0	0	0.556792794976714	0.0189667996661844	0.13728544065729	0	0	0.092042578724773	0	0	0.000703133900933055	0	0.665667627642715	0.750687314634829
TCGA.D3.A1Q9.06A	0.0185771722304513	0	0.0270551966574753	0.227379285417367	0	0.101367264593222	0.0695415713151979	0.0190884081645129	0.0311483618256217	0	0.0372862566554144	0	0	0.251546707983579	0.0689777957203094	0.142388287355187	0.00230267400110826	0	0	0.00334101808055284	0	0	0	0.350065099640953	0.942463311439026
TCGA.FW.A3I3.06A	0.0589499860503729	0	0.0236282378578837	0.189698773180008	0	0.126839720588518	0	0.0951982610389748	0	0	0	0.0532085480943891	0.0117743197794111	0.129546107641074	0.0545956504464091	0.204947959156907	0.00684667227067583	0.0082503387264535	0	0.0273450537350418	0.00406807167480181	0.00510229975908062	0	0.25977446238152	0.981412942426507
TCGA.D3.A2JB.06A	0.181230220003743	0.0754523108443593	0.0722900857345318	0.162490329902195	0	0.0451096750239836	0.0309976472525872	0.0594869182697655	0.0519421477858881	0	0	0.0143842680509265	0	0.140651218691008	0.0593881389953502	0.0736903321158525	0	0	0.0328867073298094	0	0	0	0	0.652171267660586	0.779406087262983
TCGA.EE.A2M6.06A	0.0139735233523716	0.000669771906148972	0.00970582065692807	0.0752467211768438	0	0.0736004915603204	0.0403110856116587	0.0120848653897877	0.00682511500836685	0	0.0126756038098792	0.00128914654972046	0.0140113109887259	0.403476501770559	0.0571200225857531	0.114481480325633	0.150102589144715	0	0	0.0131854077413287	0.00124054242125931	0	0	0.778512243832721	0.681823245349491
TCGA.BF.AAP7.01A	0.0198012295346342	0.00118754902041469	0	0.367796673612094	0	0	0.0308487277264741	0.0687455558943943	0.0532625359014851	0	0.0726958481654443	0.029164614782758	0.03024924371521	0.0878877521753798	0.0779116083194464	0.120742431069252	0.0186513294893946	0	0.0191480182076626	0.00190688238595607	0	0	0	0.610734040107329	0.799321048252279
TCGA.D3.A3MR.06A	0.0224480299198131	0.0316865242438402	0.0490955651477727	0.282347361237246	0	0	0.108452167727558	0.0766290075188794	0.034520530159594	0	0	0.00751510888873622	0	0.207863220682097	0.0775620760809302	0.0725219811712403	0.00714705826684502	0	0.0222113689554475	0	0	0	0	0.348790520883723	0.941183640173735
TCGA.EE.A2GT.06A	0.192394120374303	0	0.0487127402558232	0.209360208043304	0.0172979247653278	0.0172790657920583	0.0174864623727018	0.0633759720375549	0.0682506491640297	0	0.00291117316595167	0.00587642306614879	0.00693646832810647	0.164697837078676	0.019545058212677	0.134657371467593	0.00325052014395395	0.00118565887885429	0.0267823468529368	0	0	0	0	0.752786578463563	0.724043829250672
TCGA.EE.A2GP.06A	0.0204535478773022	0.00636250132070291	0	0.0541243671324393	0	0.127334719771469	0.0378556640040419	0.0304295581542664	0.0160059866804902	0	0.0127815554022955	0	0.0386021916821205	0.25825349758887	0.0558173639542857	0.263861302819421	0.0182741238224667	0	0.0586348632691227	0	0	0.00120875652070522	0	0.782763836756324	0.706009670967687
TCGA.D9.A1X3.06A	0.00419185489541394	0.0309823863154245	0.0192213579764455	0.0256820918416573	0.0344155053624653	0.0170098873345061	0.0671409746080325	0.039621898282281	0	0.00256279317849582	0.0510040276603956	0	0	0.441202426095456	0.0126930408097611	0.183276767399777	0	0.0140868305321048	0.02776009981906	0.0242578648035906	0	0.00489019308513349	0	0.459504336606783	0.890720638041248
TCGA.WE.A8K1.06A	0.0328844009691394	0.0068310757336183	0	0.322928001820928	0	0	0.0386959652074241	0.0734190721565261	0.0842951822255643	0	0	0.0731289552790373	0.0154545608555767	0.170816836007855	0.0740830624154272	0.0917141846071881	0.00685874607892399	0	0.00550331757479485	0	0	0.00338663906799693	0	0.716691545986245	0.732180904565398
TCGA.ER.A193.06A	0.0275389559000031	0	0.00161093615397658	0.275340352070652	0	0.0156680342938635	0.0858552812842536	0.0419619670672669	0.0144058080885468	0.00931163004901115	0	0.00369560901917743	0	0.297471994274584	0.0982717498854659	0.107481415478009	0.00284011890355978	0	0.0185461475316306	0	0	0	0	0.744213953899955	0.719585609356859
TCGA.D3.A2JH.06A	0.00944327009774212	0	0.00309065330716369	0.483654834105617	0	0	0.114540141182815	0.0413326049635309	0.0496314175821626	0.00121106186533063	0	0.0485457960170837	0.0109533856165379	0.0406503662590784	0.0592942292921047	0.11649977385258	0.00937053404227866	0	0.0103019068694018	0	0.000877959977202409	0.000602064969370612	0	0.71128403063206	0.723025084652223
TCGA.EE.A2GN.06A	0.0368759045683705	0	0.00979269113237209	0.0759108368416803	0	0.0761997270014214	0.0174803127945792	0.0401708516305192	0.0280504682927372	0	0.0351666590977947	0	0	0.35668649007747	0.0750037713278439	0.202327721155284	0.00374867764100086	0	0.0425858884389269	0	0	0	0	0.626380150637028	0.791625888565092
TCGA.EE.A2GO.06A	0.00801790049325734	0.00805490271193	0.00323719995783798	0.0566340180859073	0	0.0325175416519556	0.0838524473978697	0.0118505331849433	0.00352897003725332	0.00252529817311329	0.0597409170174257	0	0	0.455431129056862	0.025941806904529	0.208239317342058	0	0	0.0395502893300476	0	0.000877728655010022	0	0	0.498655482020102	0.868132935790114
TCGA.D3.A51E.06A	0.000451471365325299	0.00979266562222975	0.0445334227425679	0.258581234192022	0	0.0362328461393342	0.0696417710343784	0.118648879662381	0.0106008464114336	0	0	0.0167059868447842	0.0209384746876892	0.178984178684309	0.104190412504347	0.112598839164196	0.00641023496967182	0	0.00475272014181987	0	0.00693601583351152	0	0	0.24142395306475	0.992522922389371
TCGA.EB.A44P.01A	0.00583880418637763	0.026922382417597	0.0149036971202165	0.217593640223233	0	0.0295700531920394	0.119429968913002	0.054255369478253	0.017529181021503	0	0.0625448031363545	0	0	0.144843668517522	0.105416141950099	0.151130326483878	0.0180369743841635	0	0.025683550973978	0.00161476374411792	0	0.00468667425766621	0	0.356911629827109	0.93626974881816
TCGA.GN.A263.01A	0.0140435306591258	0.00291620190854484	0.00323128920296102	0.0621638488416523	0	0.157305323939996	0.0655491189885102	0.0330403684867477	0.00367928489125625	0.0577475872236218	0.0259434744981275	0	0	0.147837407396622	0.114715537306372	0.246487335419488	0.00823258253028931	0	0.0331299657499165	0	0.00422898808019494	0.019748154876573	0	0.348407422272436	0.940371852108456
TCGA.HR.A5NC.01A	0.00658701458166886	0.0121988590345658	0	0.0263467915435963	0	0.10412197697472	0.0194333262275427	0.0295792428806243	0.0144251757397377	0.00208373492782967	0.0320591630785829	0.00909466627029595	0.00703325964973903	0.210402924248364	0.0401025488337779	0.349996154800783	0.0420022603504648	0.00494010145820947	0.082276680404686	0	0	0.00731611899481241	0	0.332466902659584	0.950611563569255
TCGA.FR.A7U9.06A	0.0132294149539703	0.00483821881577432	0.00493995241047753	0.115449978545592	0	0.119265373875311	0.0366835463916061	0.0456274553810222	0.0401020448081484	0	0.00528760187223511	0.0366195172530074	0.0454933644429334	0.158739556672914	0.112921898565303	0.208335375634987	0.0169414935728518	0.00263451774599515	0.03289068905787	0	0	0	0	0.719449188904872	0.750595138204272
TCGA.XV.A9VZ.01A	0.00665552640726867	0	0	0.0556855156621372	0	0.163738655563569	0	0.0175431002649593	0.0109489763163562	0	0	0.0484382024896561	0.00254929668982458	0.155293072892324	0.0329521006557537	0.0897362655802253	0.0465970180826201	0.0441465824354	0.325715686959906	0	0	0	0	0.401907838767683	0.916183725977128
TCGA.EE.A2MN.06A	0.0367812331888166	0.0167463176883653	0.00828493754304579	0.291951425086057	0	0.100664434814429	0.0504577314436705	0.0738096113087134	0.0426597438041928	0	0	0.0118026190494502	0.0172312470104434	0.0710259055384328	0.0920303243480962	0.141664491701569	0.0139202619618794	0	0.0190413907915021	0	0.00365968035713799	0.00826864436419868	0	0.422514866580614	0.906392574275183
TCGA.BF.A1PX.01A	0.0441052900829371	0	0.0321141148309853	0.285258056823068	0	0	0.115037357343064	0.0438796271577675	0.0279676715184935	0	0.0190719061670545	0.0197775740157031	0.00262494780922795	0.108023314883603	0.0657907297525734	0.112382268312846	0.0172841583607302	0	0.106682982941946	0	0	0	0	0.649125743948341	0.795401375030609
TCGA.WE.AA9Y.06A	0.0882496821657429	0.0407663356693998	0.0342375037983084	0.115335998455405	0	0.189618730638248	0.0184947496063879	0.0235216084229861	0.0578700040443572	0	0	0.0128893233629227	0.0494617350305424	0.135748538532327	0.0180387638941848	0.144895321164787	0.0112875509347742	0	0.057627108678797	0	0	0.00195704560082931	0	0.545978861764485	0.848098619021295
TCGA.D3.A3CE.06A	0.0270449843792558	0	0.0957743126278937	0.312111792465409	0	0.0536739011879038	0.042888301847078	0.0437413857243821	0.0365469715921239	0	0	0.0389205170883823	0.0361915143623888	0.0460700125554084	0.0910651592492696	0.135640388914443	0.0189897127597303	0	0.0197143235493612	0	0.00162672169697015	0	0	0.299266549694431	0.965967262733533
TCGA.D9.A6EG.06A	0.0487084180201659	0	0	0.0311966135734195	0	0.0364040142617289	0.0259565929794379	0.051675467185927	0.0194972884643573	0	0.0704069663050286	0	0	0.437919630258721	0.0361549486616356	0.184353843162637	0.0150542960125892	0	0.0286419238689389	0.00418943835811508	0.00984055888729816	0	0	0.343036855801223	0.956544590269436
TCGA.WE.AAA4.06A	0.00623734544964014	0	0.000458757243612165	0.361038477923482	0	0	0.0953518701102819	0.0168069396508029	0.0273907442365755	0	0.078774458737531	0.00565595038973362	0.0682093974472386	0.120339959651754	0.083133407494116	0.1182283666958	0.00801639372782709	0	0	0.0103579312416046	0	0	0	0.719501353333242	0.735580346201636
TCGA.EB.A85I.01A	0.0112407943966199	0	0.00224662838222134	0.392858598693556	0	0	0.0983644017652084	0.0735849582318497	0.0442898280208404	0	0	0.0544388400413936	0.0249099965181945	0.129851616086158	0.0437320562959283	0.0919701536271628	0.00537312524732047	0.00285545106840498	0	0.0242835516251413	0	0	0	0.593485815515571	0.809377601264333
TCGA.BF.AAOX.01A	0	0.078226547429213	0	0.131801013008819	0	0.068572524600437	0.0589120645861441	0.0400427606863778	0.0366000909859689	0.0241518164418279	0.0182552626894132	0	0	0.301278158412974	0.0427404356931673	0.107978033260203	0	0.0382049056792064	0.0314356113400236	0.0218007751862243	0	0	0	0.436386727212051	0.899250792488784
TCGA.ER.A2NF.06A	0.0152551315263484	0.0152460228254349	0.190307015544521	0.343744033560919	0	0.0324370542705219	0.0135747655614875	0.059489679739381	0.0440305928799843	0	0	0.0350049470477917	0.0355127565612632	0.0651688573599891	0.037161882004829	0.082592680653307	0.00552131271538841	0.00774324132691592	0.0172100264219177	0	0	0	0	0.442837745400599	0.897878057827975
TCGA.FS.A1ZU.06A	0.022775404599897	0	0.00175052244615744	0.0344719981532558	0	0.0566144200361317	0.00594771177023141	0.052850942554529	0.0231135871215428	0	0	0.0331140463134171	0.0111303286781103	0.382020485368432	0.0272155596191984	0.292194135747803	0.0151571611033802	0	0	0.026130859152647	0.0155128373352667	0	0	0.453364818919666	0.895132845240916
TCGA.EE.A20H.06A	0.0233494648472611	0.00498788314090762	0	0.0994293308197763	0	0.145772519604797	0.0425812013510334	0.0516437030962833	0.0243717108339801	0.00541659946233127	0	0.0204626249820993	0.0204302924074325	0.217483141231534	0.10830821873063	0.144806712784957	0.0181901041079355	0	0.0678804793023119	0	0	0.00488601329672923	0	0.566087600920617	0.834570500386797
TCGA.FR.A3YO.06A	0.0261812999725527	0	0.0126218060410186	0.0412347116015424	0.0148361035875992	0	0.0113596434911567	0.0067633511555591	0.032651295376234	0	0.0372905893683264	0	0.0185356327774061	0.625225547592124	0.00548586108539782	0.113675419959438	0	0	0	0.0480112935303233	0.00370124488082883	0.00242619958049309	0	0.69408789283433	0.722118022287535
TCGA.FR.A729.06A	0.0705498887354568	0	0.0450908483408174	0.235876429531774	0	0.0274536257208511	0.0584499211198932	0.0788133842449695	0.0585943682024078	0	0	0.0456528906222564	0	0.0765913841194409	0.116293297113909	0.112134594287278	0.0368856609352791	0	0.0376137070256673	0	0	0	0	0.65737949146211	0.782781693770644
TCGA.ER.A19P.06A	0.0496222457241963	0.0415812463376436	0.058580821927231	0.30951112748648	0	0	0.0211029923240556	0.0749939062326703	0.0695321081631876	0.00670681433587014	0	0.0357205623584791	0.0186240929409373	0.0870430116151204	0.0766078726133356	0.111464704792137	0.0178647248531454	0	0.0207409047772431	0	0	0.000302863518267342	0	0.612412355732191	0.804902021820315
TCGA.EB.A24C.01A	0.00406468520875484	0.0584878773018846	0.00321487043522556	0.0397317414472185	0	0.118718963932825	0.0298494143244023	0.0437856910816988	0.00683518160721292	0	0.0467781166177934	0	0.0532113230084678	0.123525555362923	0.0762878405178079	0.292518112632846	0.00259513194710852	0.0235404150674516	0.0691053151989223	0	0	0.00774976430745734	0	0.287920830769085	0.963935389895364
TCGA.D3.A8GE.06A	0.0650371692634649	0	0.0152214314735799	0.208957447198603	0	0.185133459523184	0.0213007467927219	0.0615588608573313	0.0287737110562447	0.0288957922254251	0	0.000229379962698614	0.00457552672723564	0.0455865022324006	0.0867526852420273	0.194700586230588	0.0129295135059533	0	0.0393485842279827	0	0	0.000998603480558599	0	0.503672393365796	0.864811343501141
